path,color_l,color_a,color_b,weight
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,111,119,143,0.14627101240405974
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,87,170,150,0.12691080716272748
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,99,157,142,0.10648722269111119
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,161,141,139,0.09947927933966892
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,107,125,126,0.046861812497905234
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,143,144,160,0.026904408605754434
dataset_v0.1/61hSyPTtrNL._AC_SX679_.png,184,125,172,0.026736827351698206
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,177,129,126,0.2431890913033178
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,187,129,126,0.23387365538508487
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,109,126,88,0.1839838746592036
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,114,124,89,0.17987223397805252
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,134,121,89,0.08623604190340053
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,100,121,101,0.025713815353605115
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,151,122,115,0.02377042268790479
dataset_v0.1/61dl-P-84LL._AC_SX679_.png,163,112,90,0.023360864729430754
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,40,128,128,0.26137793414061433
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,43,128,128,0.20858544169384763
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,183,137,117,0.15796475424944503
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,196,138,117,0.14485779084956846
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,184,138,117,0.09650106987441999
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,175,134,121,0.06452504788389259
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,66,132,124,0.0403066171933227
dataset_v0.1/61-W1Yy68WL._AC_SX679_.png,240,130,126,0.025881344114889286
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,40,129,125,0.3821625179944588
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,34,129,119,0.14540969494419004
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,71,129,121,0.13299261413369792
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,91,129,116,0.1322945376418759
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,223,128,128,0.11617005577377981
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,61,147,131,0.041038216975194775
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,55,139,129,0.028302842220244942
dataset_v0.1/81k4OdjL6bL._AC_SX679_.png,80,155,133,0.021629520316557797
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,66,111,133,0.45437013098965956
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,144,177,184,0.3066288706502171
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,151,172,185,0.10635141474445589
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,138,167,175,0.03691927717123279
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,68,124,136,0.028038282499829596
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,184,155,186,0.024137060009863317
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,126,152,163,0.023174785192194347
dataset_v0.1/61VmX0VJkwL._AC_SX679_.png,75,138,150,0.020380178742547383
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,134,177,160,0.1759273989873881
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,134,175,158,0.15128624780753214
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,117,171,155,0.14230458698081766
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,75,158,147,0.12232876875778052
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,105,167,153,0.12028147111112879
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,45,149,141,0.11182083212358161
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,10,128,128,0.1113853215022929
dataset_v0.1/41lVmpRCCdL._AC_SX679_.png,123,178,161,0.0646653727294783
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,110,143,92,0.3271406142470275
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,185,137,122,0.1820546202590098
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,100,142,105,0.1357522276807393
